# Loop closures detected with DINOv2
# Format: idx_i idx_j similarity image_name_i image_name_j
# Total: 256 pairs

12 373 0.867292 img00012.jpg img00373.jpg
11 366 0.867280 img00011.jpg img00366.jpg
42 382 0.867239 img00042.jpg img00382.jpg
43 355 0.867140 img00043.jpg img00355.jpg
18 363 0.867025 img00018.jpg img00363.jpg
52 354 0.866532 img00052.jpg img00354.jpg
49 351 0.866512 img00049.jpg img00351.jpg
75 375 0.866313 img00075.jpg img00375.jpg
28 369 0.866191 img00028.jpg img00369.jpg
27 339 0.866166 img00027.jpg img00339.jpg
25 366 0.865492 img00025.jpg img00366.jpg
49 353 0.865438 img00049.jpg img00353.jpg
25 374 0.865010 img00025.jpg img00374.jpg
49 355 0.864604 img00049.jpg img00355.jpg
70 375 0.864477 img00070.jpg img00375.jpg
18 365 0.864234 img00018.jpg img00365.jpg
12 369 0.864195 img00012.jpg img00369.jpg
10 373 0.864113 img00010.jpg img00373.jpg
14 366 0.863965 img00014.jpg img00366.jpg
43 352 0.863929 img00043.jpg img00352.jpg
17 364 0.863800 img00017.jpg img00364.jpg
28 375 0.863799 img00028.jpg img00375.jpg
13 320 0.863561 img00013.jpg img00320.jpg
43 346 0.863489 img00043.jpg img00346.jpg
12 364 0.863291 img00012.jpg img00364.jpg
42 377 0.863051 img00042.jpg img00377.jpg
27 334 0.862910 img00027.jpg img00334.jpg
6 374 0.862802 img00006.jpg img00374.jpg
18 341 0.862602 img00018.jpg img00341.jpg
18 360 0.862544 img00018.jpg img00360.jpg
43 359 0.861699 img00043.jpg img00359.jpg
51 383 0.861466 img00051.jpg img00383.jpg
71 371 0.861379 img00071.jpg img00371.jpg
71 373 0.861115 img00071.jpg img00373.jpg
18 380 0.861104 img00018.jpg img00380.jpg
49 350 0.860997 img00049.jpg img00350.jpg
28 365 0.860992 img00028.jpg img00365.jpg
15 364 0.860980 img00015.jpg img00364.jpg
17 374 0.860523 img00017.jpg img00374.jpg
10 374 0.860344 img00010.jpg img00374.jpg
43 349 0.860314 img00043.jpg img00349.jpg
16 368 0.859859 img00016.jpg img00368.jpg
20 368 0.859787 img00020.jpg img00368.jpg
16 375 0.859689 img00016.jpg img00375.jpg
52 380 0.859371 img00052.jpg img00380.jpg
20 358 0.859339 img00020.jpg img00358.jpg
42 359 0.859158 img00042.jpg img00359.jpg
42 361 0.859149 img00042.jpg img00361.jpg
70 370 0.859019 img00070.jpg img00370.jpg
18 359 0.858566 img00018.jpg img00359.jpg
41 357 0.858514 img00041.jpg img00357.jpg
41 362 0.858420 img00041.jpg img00362.jpg
15 366 0.858414 img00015.jpg img00366.jpg
28 368 0.858385 img00028.jpg img00368.jpg
20 361 0.858309 img00020.jpg img00361.jpg
27 362 0.858300 img00027.jpg img00362.jpg
20 356 0.858281 img00020.jpg img00356.jpg
50 381 0.857990 img00050.jpg img00381.jpg
20 374 0.857875 img00020.jpg img00374.jpg
13 373 0.857828 img00013.jpg img00373.jpg
42 380 0.857810 img00042.jpg img00380.jpg
18 362 0.857682 img00018.jpg img00362.jpg
41 377 0.857587 img00041.jpg img00377.jpg
30 348 0.857567 img00030.jpg img00348.jpg
52 358 0.857527 img00052.jpg img00358.jpg
18 356 0.857477 img00018.jpg img00356.jpg
20 359 0.857465 img00020.jpg img00359.jpg
28 367 0.857400 img00028.jpg img00367.jpg
42 383 0.857375 img00042.jpg img00383.jpg
19 319 0.857329 img00019.jpg img00319.jpg
9 374 0.857269 img00009.jpg img00374.jpg
18 358 0.857139 img00018.jpg img00358.jpg
12 366 0.856895 img00012.jpg img00366.jpg
62 369 0.856680 img00062.jpg img00369.jpg
14 365 0.856392 img00014.jpg img00365.jpg
42 378 0.856376 img00042.jpg img00378.jpg
27 341 0.856202 img00027.jpg img00341.jpg
43 360 0.856002 img00043.jpg img00360.jpg
51 381 0.855786 img00051.jpg img00381.jpg
26 364 0.855596 img00026.jpg img00364.jpg
52 356 0.855569 img00052.jpg img00356.jpg
20 362 0.855467 img00020.jpg img00362.jpg
20 348 0.855263 img00020.jpg img00348.jpg
16 367 0.855261 img00016.jpg img00367.jpg
42 358 0.855188 img00042.jpg img00358.jpg
43 345 0.855148 img00043.jpg img00345.jpg
30 346 0.855040 img00030.jpg img00346.jpg
22 373 0.854935 img00022.jpg img00373.jpg
49 354 0.854722 img00049.jpg img00354.jpg
11 373 0.854711 img00011.jpg img00373.jpg
14 320 0.854692 img00014.jpg img00320.jpg
17 366 0.854647 img00017.jpg img00366.jpg
62 373 0.854627 img00062.jpg img00373.jpg
7 373 0.854586 img00007.jpg img00373.jpg
20 322 0.854466 img00020.jpg img00322.jpg
14 367 0.854363 img00014.jpg img00367.jpg
42 360 0.854282 img00042.jpg img00360.jpg
20 367 0.854119 img00020.jpg img00367.jpg
28 371 0.853975 img00028.jpg img00371.jpg
20 380 0.853838 img00020.jpg img00380.jpg
7 366 0.853701 img00007.jpg img00366.jpg
15 365 0.853700 img00015.jpg img00365.jpg
47 352 0.853402 img00047.jpg img00352.jpg
24 374 0.853355 img00024.jpg img00374.jpg
11 365 0.853086 img00011.jpg img00365.jpg
43 353 0.853011 img00043.jpg img00353.jpg
17 373 0.852865 img00017.jpg img00373.jpg
41 363 0.852859 img00041.jpg img00363.jpg
17 365 0.852751 img00017.jpg img00365.jpg
17 369 0.852594 img00017.jpg img00369.jpg
10 371 0.852569 img00010.jpg img00371.jpg
21 364 0.852527 img00021.jpg img00364.jpg
12 320 0.852389 img00012.jpg img00320.jpg
20 351 0.852360 img00020.jpg img00351.jpg
27 361 0.852141 img00027.jpg img00361.jpg
19 323 0.851497 img00019.jpg img00323.jpg
21 366 0.851231 img00021.jpg img00366.jpg
21 374 0.851167 img00021.jpg img00374.jpg
8 374 0.851083 img00008.jpg img00374.jpg
42 357 0.851058 img00042.jpg img00357.jpg
52 360 0.851003 img00052.jpg img00360.jpg
62 368 0.850816 img00062.jpg img00368.jpg
42 379 0.850779 img00042.jpg img00379.jpg
17 368 0.850531 img00017.jpg img00368.jpg
14 371 0.850275 img00014.jpg img00371.jpg
