id,tx,ty,tz,qx,qy,qz,qw
133,11.275607109,4.266621113,-12.038895607,-0.261590064,-0.507524073,-0.525462866,0.630786359
134,11.266050339,4.261409760,-12.225577354,-0.264693767,-0.512576878,-0.520554662,0.629473448
135,10.906888008,5.181905270,-12.381340027,-0.250445545,-0.497878581,-0.521810770,0.645848155
136,11.266386986,5.249890327,-12.266756058,-0.245643079,-0.508643329,-0.524630666,0.636959851
137,11.270363808,5.649060726,-12.289468765,-0.238071516,-0.502338588,-0.531022966,0.639535606
138,11.215445518,6.165469170,-12.283046722,-0.227840036,-0.497724473,-0.533691525,0.644628584
139,11.445743561,5.738697052,-12.466767311,-0.238856837,-0.508245111,-0.532098055,0.633656204
140,11.665021896,5.965334892,-12.486143112,-0.233880281,-0.506620109,-0.540890157,0.629355788
141,9.971632004,7.267212868,-13.428171158,-0.242187887,-0.418913245,-0.563277602,0.669768512
142,10.865747452,5.346108913,-13.833206177,-0.273207128,-0.484457940,-0.536246121,0.634912133
143,10.780673027,5.500518799,-14.127660751,-0.273903131,-0.495399714,-0.522699893,0.637460649
144,10.896920204,6.099155903,-14.040932655,-0.262497276,-0.491126150,-0.530158579,0.639403522
145,10.721608162,6.194286823,-14.412251472,-0.267361522,-0.494607985,-0.521191537,0.642069995
146,10.969887733,7.251262188,-14.093707085,-0.244403511,-0.474381387,-0.546528041,0.645407856
147,10.672750473,7.381814480,-14.538646698,-0.250709265,-0.468129098,-0.542669415,0.650787711
148,10.025514603,7.159605503,-15.427926064,-0.266803354,-0.478138506,-0.514027655,0.660295010
149,10.925902367,7.178170204,-14.993279457,-0.258792400,-0.481085062,-0.536569774,0.643188298
150,11.391402245,7.183278084,-14.876953125,-0.258273333,-0.475941092,-0.553343177,0.632930338
151,12.937189102,6.513435364,-14.176395416,-0.257512718,-0.474557549,-0.596000612,0.594374239
152,13.866270065,5.636511326,-13.830657005,-0.264279425,-0.477181375,-0.619446754,0.564584613
153,15.189155579,4.360464096,-13.070421219,-0.267588794,-0.486180544,-0.649275362,0.520079136
154,16.827444077,2.961830139,-11.518802643,-0.256296545,-0.505630434,-0.680951118,0.463650405
155,18.347854614,1.504993200,-9.353157043,-0.234344795,-0.522611558,-0.715297103,0.400406837
156,19.596904755,-0.961880267,-6.515014648,-0.211380064,-0.524984539,-0.764141500,0.309538394
157,19.988891602,-3.662610292,-3.859139681,-0.190687880,-0.517025828,-0.805755913,0.217014015
158,19.862567902,-5.415530205,-1.994926333,-0.174950808,-0.517301559,-0.823356152,0.154573873
159,19.136114120,-7.714997768,0.832062602,-0.138994858,-0.504315376,-0.849828184,0.064452954
160,18.310024261,-9.143589020,2.399311781,-0.124933198,-0.504805923,-0.854115248,0.008068077
161,17.452096939,-10.089180946,3.913538694,-0.112950146,-0.517056227,-0.847515583,-0.040365212
162,16.667963028,-10.712491989,5.137485504,-0.103921972,-0.528723359,-0.838740051,-0.078635409
163,15.758632660,-11.093727112,6.564354420,-0.094175540,-0.548806190,-0.821987689,-0.119555116
164,15.215610504,-11.598429680,6.645185947,-0.097519830,-0.541291058,-0.823273778,-0.140462548
165,15.204705238,-11.447192192,6.680415154,-0.100105472,-0.547773719,-0.818324208,-0.142423034
166,15.042452812,-11.455883980,6.820044041,-0.101397909,-0.552203357,-0.813931584,-0.149400517
167,15.079240799,-11.429531097,6.442371845,-0.099163480,-0.538323641,-0.823950768,-0.146612942
168,15.271180153,-11.160841942,6.002399445,-0.102177322,-0.535363793,-0.826865375,-0.138762012
169,15.773838043,-10.491346359,5.545565128,-0.106527992,-0.544296265,-0.823502004,-0.119385101
170,15.814628601,-10.317709923,5.336497784,-0.111224808,-0.547655463,-0.820908725,-0.117586479
171,15.917984962,-10.060262680,5.060452461,-0.116501078,-0.551151037,-0.818504095,-0.112813376
172,15.632277489,-10.005944252,5.531295776,-0.108439118,-0.555337965,-0.814766765,-0.126532823
173,16.068485260,-9.284125328,5.012346268,-0.108908117,-0.558634520,-0.815264702,-0.106889941
174,16.067171097,-9.126777649,4.849723816,-0.106843241,-0.554736555,-0.818272352,-0.106289938
175,16.014253616,-8.825046539,5.142266750,-0.103622422,-0.570043743,-0.807518661,-0.110641211
176,15.635093689,-9.505723953,4.661323547,-0.112460382,-0.544452369,-0.821669996,-0.125685364
177,15.877430916,-8.979139328,4.532213211,-0.108774148,-0.548838079,-0.820820749,-0.114953853
178,16.020490646,-8.456161499,4.665488243,-0.099805556,-0.555890620,-0.817991376,-0.109222390
179,15.977600098,-8.375734329,4.691316128,-0.100004770,-0.560506701,-0.814384818,-0.112357266
180,15.986274719,-8.440196991,4.074811935,-0.113444485,-0.556911528,-0.815499008,-0.109349258
181,16.154275894,-8.070620537,3.837074041,-0.112749018,-0.558110535,-0.815996706,-0.099828348
182,16.132766724,-7.877303600,3.946506500,-0.108738735,-0.562293231,-0.813384950,-0.102096476
183,16.122232437,-7.810877323,3.728930235,-0.110533684,-0.556942701,-0.816814482,-0.102111571
184,16.237367630,-7.586812019,3.332510710,-0.114705876,-0.552818000,-0.819912791,-0.094832949
185,16.277675629,-7.382154465,3.112970114,-0.111784235,-0.541880965,-0.828032970,-0.090804145
186,16.239505768,-7.175230980,3.383788586,-0.104979582,-0.548532903,-0.824200392,-0.093808576
187,16.231721878,-7.160281658,3.042110682,-0.113221630,-0.548550189,-0.823227882,-0.092661463
188,16.366119385,-6.772276878,2.859682083,-0.113558531,-0.554752111,-0.819866896,-0.084788710
189,16.282451630,-6.812148094,2.934573412,-0.113519765,-0.556097507,-0.818316817,-0.090790659
190,15.991590500,-7.133114338,3.336207390,-0.110277809,-0.555073678,-0.816987932,-0.110816531
191,15.872411728,-7.246017933,3.402936459,-0.110057987,-0.551440954,-0.818391740,-0.118539363
192,15.661478043,-7.479358196,3.554134369,-0.109754644,-0.547038615,-0.819354832,-0.131819651
193,15.867935181,-6.934514046,3.287741899,-0.113030501,-0.561008573,-0.811212063,-0.120190851
194,16.056621552,-6.412998676,2.985422850,-0.112307116,-0.565586925,-0.809864163,-0.107868552
195,16.007036209,-6.449831009,2.599461079,-0.117359810,-0.551211774,-0.818929315,-0.108460508
196,15.949774742,-6.299604893,2.707787991,-0.114460148,-0.554000199,-0.816853166,-0.112919025
197,15.866184235,-6.266392231,2.904326200,-0.110803552,-0.555566967,-0.815168858,-0.120773092
198,16.094778061,-5.716639519,2.447826862,-0.111017942,-0.550995231,-0.820576966,-0.103679165
199,16.021814346,-5.920294285,1.962618828,-0.125262439,-0.544850945,-0.822376668,-0.105648652
200,16.095081329,-5.632524014,1.737703562,-0.127380192,-0.549089313,-0.820044041,-0.099108078
201,16.115343094,-5.367024422,1.807868361,-0.124007881,-0.556693435,-0.815399826,-0.099276356
202,16.067020416,-5.280139446,1.943140984,-0.119095914,-0.552340865,-0.818429649,-0.104530163
203,16.090993881,-5.062672615,1.889764428,-0.114786550,-0.539277256,-0.827806830,-0.103721745
204,16.079319000,-5.025571823,1.492883325,-0.129199699,-0.556031883,-0.814485013,-0.103766732
205,16.106573105,-4.884072304,0.866544604,-0.138912559,-0.540499926,-0.824276507,-0.095657907
206,16.232526779,-4.169842720,1.023355126,-0.124213152,-0.545481324,-0.824391186,-0.086141795
207,16.165657043,-4.134531021,1.226109385,-0.120399155,-0.543123007,-0.825444698,-0.095818482
208,15.956655502,-4.588753223,1.720251203,-0.114804566,-0.531573772,-0.830393851,-0.121307679
209,16.044645309,-4.203002930,1.527742147,-0.113388479,-0.530518651,-0.832364023,-0.113503158
210,15.963346481,-4.291003704,1.632726789,-0.116105363,-0.548891544,-0.818167031,-0.125936091
211,16.023756027,-4.116385460,1.316079259,-0.122699611,-0.558774710,-0.811324477,-0.120364703
212,16.174741745,-3.574052572,0.552442908,-0.131776199,-0.552282929,-0.817252100,-0.098679110
213,16.186153412,-3.528876781,0.173391148,-0.140446857,-0.543486893,-0.822238028,-0.094026044
214,15.675460815,-5.205881596,0.861923456,-0.151911780,-0.528567851,-0.820712864,-0.154886469
215,15.019496918,-6.614327908,1.750424027,-0.153622910,-0.517445683,-0.814623356,-0.212270245
216,14.787722588,-6.948962212,2.126062393,-0.150394425,-0.514452338,-0.811934531,-0.231306553
217,14.536877632,-7.209252834,2.679588318,-0.142566472,-0.516889691,-0.805644989,-0.251906097
218,14.056056023,-7.729696751,3.395087957,-0.131775171,-0.505956769,-0.803895235,-0.283575982
219,12.989710808,-8.888179779,4.353075027,-0.122659147,-0.482726395,-0.798086286,-0.339129508
220,10.376810074,-10.881055832,6.016317844,-0.101175897,-0.433046252,-0.777579010,-0.444552213
221,8.618726730,-11.642848969,6.982199669,-0.078311689,-0.402312189,-0.761160195,-0.502661169
222,7.134785652,-12.216599464,7.427671432,-0.067324303,-0.377167344,-0.744372487,-0.546939433
223,4.843636990,-12.910655022,7.791637421,-0.060019378,-0.344206780,-0.711260557,-0.609958291
224,3.346094131,-13.076650620,8.076889992,-0.047542404,-0.322918952,-0.688360870,-0.647800028
225,1.096778274,-13.044946671,8.452889442,-0.027268510,-0.295065105,-0.649017930,-0.700707316
226,-1.020588160,-13.139094353,8.057906151,-0.025371233,-0.255749136,-0.613854527,-0.746427536
227,-2.553256750,-13.076929092,7.540564537,-0.015624789,-0.216049582,-0.592437088,-0.775963306
228,-3.480983973,-12.581819534,7.528920174,-0.013694569,-0.214699417,-0.564357996,-0.797018588
229,-2.736153126,-12.488922119,7.485875607,-0.021813242,-0.232328445,-0.575955689,-0.783481836
230,-2.050852537,-12.189326286,7.727147579,-0.013745550,-0.250758320,-0.586477637,-0.770062983
231,-1.150534868,-11.833902359,7.994140148,0.000558179,-0.269198447,-0.604574382,-0.749695837
232,-0.942537427,-11.540835381,8.109448433,0.005476844,-0.279752821,-0.604849458,-0.745579064
233,-0.760477483,-10.819873810,8.737994194,0.027638301,-0.306156784,-0.596894503,-0.741109431
234,-0.296067446,-10.491695404,8.860629082,0.029728379,-0.325969815,-0.598933339,-0.730863154
235,0.039006561,-9.834375381,9.304407120,0.047601376,-0.352498770,-0.594000220,-0.721570790
236,0.204738691,-10.099467278,8.646835327,0.026757123,-0.346177191,-0.602940202,-0.718283176
237,0.591685534,-9.551348686,8.983852386,0.038240477,-0.370351762,-0.600160599,-0.707960486
238,0.427465796,-9.588368416,8.694549561,0.028512722,-0.366477698,-0.596082807,-0.713856578
239,0.705472410,-9.356371880,8.660597801,0.039157022,-0.368667215,-0.605221033,-0.704473495
240,0.866824269,-9.094163895,8.669951439,0.045215629,-0.377003551,-0.605270684,-0.699640095
241,0.643371761,-8.604190826,8.996923447,0.061433382,-0.389808148,-0.589375436,-0.704936981
242,0.713158906,-8.025817871,9.312249184,0.082097024,-0.404683799,-0.581978977,-0.700582922
243,0.583795369,-8.517371178,8.584234238,0.058817908,-0.382161289,-0.593378663,-0.705988586
244,0.466476709,-8.298631668,8.505067825,0.061475664,-0.382105112,-0.589364707,-0.709148288
245,0.525777578,-8.154676437,8.392883301,0.066604339,-0.380912870,-0.593598545,-0.705786765
246,0.549030960,-8.210762978,8.087871552,0.060753066,-0.375351489,-0.597923219,-0.705643952
247,0.500874758,-8.182552338,7.879863739,0.048432231,-0.381436020,-0.590648949,-0.709450066
248,0.947444141,-8.150741577,7.621234417,0.043110751,-0.385862142,-0.604528904,-0.695573330
249,1.235950232,-8.071726799,7.360657215,0.040085446,-0.386216074,-0.615738511,-0.685654104
250,1.230695963,-8.012609482,7.108545303,0.029584251,-0.387286484,-0.613180697,-0.687872171
251,1.414372921,-7.916880608,6.995427132,0.034335896,-0.385621816,-0.622361362,-0.680299938
252,1.127830386,-7.789348602,6.914416313,0.039738383,-0.379806578,-0.615094960,-0.689819813
253,0.983134449,-7.721810818,6.756262302,0.038810860,-0.374848396,-0.612975776,-0.694455147
254,0.723528683,-7.901463509,6.424443245,0.035416607,-0.348843902,-0.619357944,-0.702476859
255,0.462965578,-7.405693054,6.830430508,0.063266851,-0.354363889,-0.606290638,-0.709126115
256,-0.183248162,-7.426262856,6.664804459,0.065650173,-0.332193673,-0.593224943,-0.730373979
257,-0.307942361,-7.152249813,6.698454380,0.081118539,-0.327890486,-0.591803432,-0.731915474
258,-0.365460604,-7.205005169,6.401520252,0.064798079,-0.323137730,-0.590447247,-0.736736059
259,0.339986831,-7.312360287,6.008100986,0.048534904,-0.325850695,-0.618742585,-0.713195920
260,-0.113829724,-7.764158726,5.093966007,-0.008012639,-0.309750736,-0.603992701,-0.734307706
261,0.152471215,-7.683545113,4.962499619,-0.008630106,-0.317661732,-0.611639857,-0.724525988
262,0.053440072,-7.500205517,5.021883488,-0.000334705,-0.323150635,-0.603295803,-0.729131579
263,0.220808953,-6.918050766,5.535170555,0.028878478,-0.356442750,-0.591218650,-0.722910404
264,0.292704880,-6.294069767,6.007065773,0.069393359,-0.376075774,-0.583223701,-0.716677427
265,0.614109755,-6.160797596,5.859918594,0.061998997,-0.387980968,-0.590414703,-0.705027103
266,0.407612711,-5.885941029,5.881839275,0.087004937,-0.376189381,-0.589900374,-0.709193766
267,0.403408766,-5.807486057,5.662894726,0.077327989,-0.381351382,-0.584925473,-0.711672843
268,0.546618938,-5.325012684,5.854734898,0.102822885,-0.401310533,-0.578760743,-0.702451944
269,0.456359148,-4.965257168,5.875515938,0.115035281,-0.415429443,-0.563244343,-0.704958260
270,0.552530229,-4.937577724,5.601724148,0.109727383,-0.414182544,-0.569216490,-0.701733589
271,0.222690627,-4.986993790,5.246866703,0.113919079,-0.385885805,-0.570675552,-0.715870559
272,-0.153750196,-5.321891785,4.627731323,0.076691709,-0.357308418,-0.563277245,-0.741076231
273,0.293985873,-5.187137127,4.471488953,0.072314605,-0.374969602,-0.578415632,-0.720853269
274,0.267982304,-4.956959248,4.525647640,0.089369267,-0.381537735,-0.571925938,-0.720672011
275,0.143835619,-4.893948078,4.374076843,0.084852502,-0.382981896,-0.561158001,-0.728870392
276,0.160088524,-4.769547939,4.260907650,0.088674963,-0.386375636,-0.559864879,-0.727617800
277,0.091786601,-4.540068626,4.249946117,0.099806190,-0.391805530,-0.549494088,-0.731169164
278,0.236055166,-4.494572163,3.949662685,0.088639870,-0.390193850,-0.559947252,-0.725517929
279,0.146958515,-4.371853828,3.896832228,0.099130809,-0.384666771,-0.555658400,-0.730393171
280,0.099036083,-4.472991467,3.539928913,0.084976077,-0.364695013,-0.563101053,-0.736694694
281,0.209990919,-4.391424656,3.378118753,0.088900737,-0.362745136,-0.571952522,-0.730347753
282,0.229953066,-4.237133503,3.341843605,0.095734492,-0.372066885,-0.566122770,-0.729335368
283,0.430322438,-4.166720390,3.168193817,0.091177300,-0.380125165,-0.576038659,-0.717911065
284,0.364291131,-4.072390556,3.085302353,0.089414455,-0.386250108,-0.566192031,-0.722680569
285,0.430451512,-3.920740366,3.061555386,0.092660241,-0.399668694,-0.561804295,-0.718387246
286,0.468796790,-3.818226337,2.993004322,0.092531480,-0.405165762,-0.560375154,-0.716438532
