kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
258,825,-5.335079193,-0.621358454,-7.958371162,0.304682940,0.037712909,-0.113846838,-0.944907367,
259,829,-5.051705837,-1.746039391,-8.529920578,0.389283299,0.036293164,-0.109249875,-0.913932264,
260,833,-4.998625755,-1.406655550,-9.137387276,0.377395034,0.041665375,-0.134455606,-0.915328324,
261,835,-4.434614182,-1.223151803,-9.811867714,0.396970153,0.061806995,-0.101020880,-0.910194814,
262,838,-4.603494167,-2.045083523,-10.035954475,0.434392065,0.056724131,-0.134302810,-0.888884604,
263,841,-0.534023404,1.807661057,-11.589674950,0.370138049,0.100200102,0.198105678,-0.902096689,
264,844,3.198945045,1.010053039,-11.598113060,0.372598052,0.185524166,0.359966367,-0.835010767,
265,848,9.066297531,-2.867997646,-7.887745380,0.327693224,0.367383778,0.618153214,-0.612860858,
266,852,9.165080070,-2.222036123,-8.284798622,0.333880156,0.400607556,0.575843453,-0.629689693,
267,855,8.684130669,-2.058145046,-9.030741692,0.362775803,0.411650747,0.533598661,-0.643643260,
268,857,9.122273445,-2.204061508,-8.599253654,0.348204374,0.420168728,0.569440842,-0.614830911,
269,862,6.326667309,-0.738128722,-11.496537209,0.397392213,0.343989462,0.486069351,-0.698252678,
