kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
370,1154,16.510385513,-5.578201771,-5.615897655,0.271317094,0.452772592,0.840735939,-0.120611339,
371,1155,16.415317535,-7.387889385,-3.306298733,0.242549794,0.465012975,0.850467617,-0.040464346,
372,1157,15.636148453,-9.441911697,-0.793421805,0.206291418,0.460197719,0.861665930,0.056513148,
373,1158,15.102095604,-10.257236481,0.411151350,0.177121304,0.442220233,0.873144687,0.103381162,
374,1160,14.353956223,-11.039594650,1.973947644,0.146057772,0.440988620,0.871978582,0.154432887,
375,1162,13.491474152,-11.598945618,3.517206430,0.105299611,0.429826617,0.873864152,0.201302048,
376,1164,12.188204765,-11.690991402,6.172957420,0.014644866,0.406310531,0.877330308,0.254929032,
377,1166,10.604410172,-11.725060463,8.291387558,-0.046137830,0.407138643,0.860111551,0.303838026,
378,1167,10.225053787,-11.398147583,8.974861145,-0.056952033,0.427141557,0.845403480,0.315593904,
379,1169,7.206134796,-12.740678787,9.609177589,-0.056664877,0.419300511,0.807548013,0.410904345,
380,1171,6.461344719,-12.743786812,9.642955780,-0.074966467,0.405065084,0.803351093,0.430034101,
381,1174,5.172467709,-12.161175728,10.335837364,-0.101223511,0.419214266,0.774093909,0.463456384,
382,1175,5.185297966,-12.351461411,9.699032784,-0.080964552,0.419743870,0.773449722,0.468012129,
383,1177,4.988854408,-11.969390869,9.895634651,-0.088889549,0.431112934,0.763516700,0.472527814,
384,1180,6.442491055,-11.608014107,8.704990387,-0.059404991,0.447505810,0.779491138,0.434284656,
385,1183,7.500783920,-10.403062820,8.617682457,-0.054090574,0.495554106,0.769206895,0.399776301,
386,1185,8.169907570,-10.000856400,7.904542446,-0.054709717,0.492256138,0.783168459,0.375949341,
387,1186,7.930854321,-10.052253723,7.917779922,-0.059047587,0.487897154,0.781660231,0.384027384,
388,1188,7.859286785,-10.144245148,7.250993729,-0.050718432,0.479950716,0.785795491,0.386782107,
389,1189,7.909775734,-10.168113708,6.969742775,-0.042855738,0.481770981,0.785854516,0.385347618,
390,1192,6.774830341,-10.156111717,7.490494251,-0.056204721,0.492668387,0.757474824,0.424677266,
