pose_id,tx,ty,tz,qx,qy,qz,qw,loop_ids
327,3.455898538,-2.033701733,3.255858954,0.000000000,0.000000000,0.000000000,1.000000000,23
328,3.487718350,-2.166741134,3.375322856,0.000000000,0.000000000,0.000000000,1.000000000,24
329,3.563853310,-2.288672377,3.501543266,0.000000000,0.000000000,0.000000000,1.000000000,25
330,3.628393488,-2.470789114,3.569087183,0.000000000,0.000000000,0.000000000,1.000000000,26
331,3.681281453,-2.501731944,3.702702294,0.000000000,0.000000000,0.000000000,1.000000000,27
332,3.694739536,-2.589243164,3.822400051,0.000000000,0.000000000,0.000000000,1.000000000,28
333,3.752083315,-2.806482171,3.994638066,0.000000000,0.000000000,0.000000000,1.000000000,29
334,3.787676854,-2.927527098,4.054942122,0.000000000,0.000000000,0.000000000,1.000000000,30
335,3.853510365,-3.079015923,4.157356183,0.000000000,0.000000000,0.000000000,1.000000000,31
336,3.909893616,-3.268409104,4.260272003,0.000000000,0.000000000,0.000000000,1.000000000,32
337,3.983695218,-3.406144915,4.437634314,0.000000000,0.000000000,0.000000000,1.000000000,33
338,4.026483492,-3.594146777,4.601418974,0.000000000,0.000000000,0.000000000,1.000000000,34
339,4.089597185,-3.775188819,4.716288252,0.000000000,0.000000000,0.000000000,1.000000000,35
340,4.138442459,-3.971206693,4.816151901,0.000000000,0.000000000,0.000000000,1.000000000,36
341,4.215755170,-4.143864377,5.001123250,0.000000000,0.000000000,0.000000000,1.000000000,37
342,4.245193025,-4.264799909,5.098215569,0.000000000,0.000000000,0.000000000,1.000000000,38
343,4.300112909,-4.514874854,5.249817538,0.000000000,0.000000000,0.000000000,1.000000000,39
344,4.328405351,-4.706703565,5.336082050,0.000000000,0.000000000,0.000000000,1.000000000,40
345,4.391840529,-4.913744593,5.440618616,0.000000000,0.000000000,0.000000000,1.000000000,41
346,4.422824887,-5.149030940,5.545409338,0.000000000,0.000000000,0.000000000,1.000000000,42
347,4.487986252,-5.410118552,5.663602342,0.000000000,0.000000000,0.000000000,1.000000000,43
348,4.538555507,-5.581493124,5.771650760,0.000000000,0.000000000,0.000000000,1.000000000,44
349,4.538442395,-5.718108429,5.797250592,0.000000000,0.000000000,0.000000000,1.000000000,45
350,4.561790149,-5.912221256,5.854864162,0.000000000,0.000000000,0.000000000,1.000000000,46
351,4.589106283,-6.092195774,5.923590764,0.000000000,0.000000000,0.000000000,1.000000000,47
352,4.593282101,-6.241569835,5.988296822,0.000000000,0.000000000,0.000000000,1.000000000,48
353,4.621397609,-6.453535647,6.101747890,0.000000000,0.000000000,0.000000000,1.000000000,49
354,4.654658323,-6.683479577,6.196637117,0.000000000,0.000000000,0.000000000,1.000000000,50
355,4.665624934,-6.876872220,6.222030251,0.000000000,0.000000000,0.000000000,1.000000000,51
356,4.676238019,-7.051610775,6.262685027,0.000000000,0.000000000,0.000000000,1.000000000,52
357,4.730023376,-7.325994875,6.335127742,0.000000000,0.000000000,0.000000000,1.000000000,53
358,4.734703999,-7.489774716,6.442833858,0.000000000,0.000000000,0.000000000,1.000000000,54
359,4.734562828,-7.673533999,6.525047744,0.000000000,0.000000000,0.000000000,1.000000000,55
360,4.747584014,-7.823855407,6.582542437,0.000000000,0.000000000,0.000000000,1.000000000,56
361,4.753150930,-7.931122304,6.619641540,0.000000000,0.000000000,0.000000000,1.000000000,57
362,4.756154044,-8.073967975,6.662076257,0.000000000,0.000000000,0.000000000,1.000000000,58
363,4.769509073,-8.208510733,6.702373939,0.000000000,0.000000000,0.000000000,1.000000000,59
364,4.790996715,-8.333707722,6.741281087,0.000000000,0.000000000,0.000000000,1.000000000,60
365,4.773258990,-8.547832142,6.809273249,0.000000000,0.000000000,0.000000000,1.000000000,61
366,4.780086818,-8.666126052,6.855663021,0.000000000,0.000000000,0.000000000,1.000000000,62
367,4.849260849,-8.833254921,6.912842215,0.000000000,0.000000000,0.000000000,1.000000000,63
368,4.909454295,-8.920248677,6.934578610,0.000000000,0.000000000,0.000000000,1.000000000,64
369,4.972687340,-8.992919091,6.947482928,0.000000000,0.000000000,0.000000000,1.000000000,65
370,5.066164405,-9.074481805,6.963840273,0.000000000,0.000000000,0.000000000,1.000000000,66
371,5.175126334,-9.133942109,6.973862819,0.000000000,0.000000000,0.000000000,1.000000000,67
372,5.329602209,-9.193790768,6.960737690,0.000000000,0.000000000,0.000000000,1.000000000,68
373,5.413727386,-9.220816455,6.954318120,0.000000000,0.000000000,0.000000000,1.000000000,69
374,5.570059825,-9.227807474,6.939085645,0.000000000,0.000000000,0.000000000,1.000000000,70
375,5.678152599,-9.222680176,6.935523098,0.000000000,0.000000000,0.000000000,1.000000000,71
376,5.819009490,-9.212873500,6.902788339,0.000000000,0.000000000,0.000000000,1.000000000,72
377,5.948534357,-9.204545739,6.854393924,0.000000000,0.000000000,0.000000000,1.000000000,73
378,6.119705570,-9.192473941,6.801233528,0.000000000,0.000000000,0.000000000,1.000000000,74
379,6.288582888,-9.179936338,6.745233124,0.000000000,0.000000000,0.000000000,1.000000000,75
380,6.456733270,-9.175404016,6.659735577,0.000000000,0.000000000,0.000000000,1.000000000,76
381,6.568035580,-9.171720371,6.616859952,0.000000000,0.000000000,0.000000000,1.000000000,77
382,6.779225729,-9.168546059,6.525701489,0.000000000,0.000000000,0.000000000,1.000000000,78
383,6.933313364,-9.168047872,6.470883367,0.000000000,0.000000000,0.000000000,1.000000000,79
384,7.053675927,-9.156649220,6.432128944,0.000000000,0.000000000,0.000000000,1.000000000,80
385,7.219347254,-9.160113369,6.362782885,0.000000000,0.000000000,0.000000000,1.000000000,81
386,7.332541301,-9.174444331,6.313524889,0.000000000,0.000000000,0.000000000,1.000000000,82
387,7.468870692,-9.187798836,6.257099974,0.000000000,0.000000000,0.000000000,1.000000000,83
388,7.680167568,-9.229294805,6.168685683,0.000000000,0.000000000,0.000000000,1.000000000,84
389,7.810535117,-9.254274380,6.113226948,0.000000000,0.000000000,0.000000000,1.000000000,85
390,7.964209582,-9.275692605,6.079251578,0.000000000,0.000000000,0.000000000,1.000000000,86
391,8.091516745,-9.291586165,6.056614844,0.000000000,0.000000000,0.000000000,1.000000000,87
392,8.240636814,-9.302544631,6.008364729,0.000000000,0.000000000,0.000000000,1.000000000,88
393,8.376779258,-9.322280265,5.951823822,0.000000000,0.000000000,0.000000000,1.000000000,
394,8.477651850,-9.334444839,5.910258116,0.000000000,0.000000000,0.000000000,1.000000000,
395,8.604203693,-9.345586664,5.855372247,0.000000000,0.000000000,0.000000000,1.000000000,
396,8.718654784,-9.341495945,5.814387788,0.000000000,0.000000000,0.000000000,1.000000000,
397,8.877326192,-9.362952402,5.726911575,0.000000000,0.000000000,0.000000000,1.000000000,
398,8.976549816,-9.390857756,5.663239126,0.000000000,0.000000000,0.000000000,1.000000000,
399,9.189202096,-9.396482457,5.600308066,0.000000000,0.000000000,0.000000000,1.000000000,
